TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
193;12974.4;1;27;193;12974.4;1;126;0
538;11108.3;1;25;197;11881.5;1;70;1
217;14843;1;28;217;14843;1;67;0
242;16909.3;1;28;242;16909.3;1;53;0
275;16934.1;1;30;275;16934.1;1;67;0
400;26811;1;43;400;26811;1;124;0
134;8779.21;1;23;134;8779.21;1;32;0
131;7891.4;1;23;131;7891.4;1;31;0
917;8152.12;1;22;917;8152.12;3;71;0
223;13405.8;1;31;223;13405.8;1;66;0
206;13095.9;1;27;206;13095.9;1;46;0
249;17253.3;1;26;249;17253.3;1;51;0
279;17465.5;1;38;279;17465.5;1;102;0
77;4107.91;1;21;77;4107.91;1;21;0
103;6947.31;1;22;103;6947.31;1;27;0
88;5918.94;1;24;99;5827.81;1;25;2
206;13672.2;1;31;206;13672.2;1;54;0
186;11660.6;1;27;186;11660.6;1;44;0
116;7287.4;1;23;116;7287.4;1;32;0
135;9442.25;1;23;135;9442.25;1;31;0
308;20553.8;1;36;308;20553.8;1;88;0
131;9391.63;1;24;131;9391.63;1;40;0
535;18351;1;38;305;19168.2;3;153;1
174;11324.6;1;23;174;11324.6;1;35;0
203;12634.5;1;24;203;12634.5;1;40;0
134;8971.14;1;23;134;8971.14;1;33;0
229;13175.7;1;26;229;13175.7;1;45;0
215;16676.5;1;32;215;16676.5;1;66;0
249;15182.5;1;28;249;15182.5;1;50;0
112;6775.01;1;23;112;6775.01;1;35;0
105;6642.1;1;23;105;6642.1;1;29;0
228;14266.9;1;33;228;14266.9;1;95;0
119;7543.55;1;23;119;7543.55;1;31;0
41;2582.31;1;21;41;2582.31;1;22;0
57;4047.13;1;23;57;4047.13;1;25;0
38;2013.2;1;21;38;2013.2;1;20;0
213;14346.4;1;26;213;14346.4;1;45;0
236;16431.8;1;27;236;16431.8;1;51;0
72;5568.29;1;21;72;5568.29;1;21;0
495;9873.12;1;25;174;10143.1;1;40;1
290;18376.1;1;29;290;18376.1;2;161;0
101;6409.43;1;22;101;6409.43;1;27;0
48;2978.83;1;21;48;2978.83;1;21;0
275;17963.4;1;32;275;17963.4;1;81;0
156;9307.54;1;25;156;9307.54;1;37;0
154;10061.5;1;25;154;10061.5;1;42;0
147;9423.41;1;24;147;9423.41;1;36;0
128;8444.31;1;24;128;8444.31;1;35;0
3675;8807.22;1;24;143;9204.15;1;36;1
151;10040.3;1;24;151;10040.3;1;37;0
152;10049.6;1;23;152;10049.6;1;33;0
185;12102.5;1;22;185;12102.5;1;27;0
117;7897.64;1;24;117;7897.64;1;37;0
123;7514.36;1;22;123;7514.36;1;29;0
114;7270.39;1;22;114;7270.39;1;27;0
276;18524.8;1;33;276;18524.8;1;130;0
125;7933.17;1;23;125;7933.17;1;32;0
115;7510.82;1;23;115;7510.82;1;28;0
482;28568.8;1;54;407;29626.2;1;171;1
168;13506.1;1;33;168;13506.1;1;71;0
164;10722.8;1;25;164;10722.8;1;46;0
108;6703.45;1;22;108;6703.45;1;24;0
235;15844.1;1;26;235;15844.1;1;41;0
230;14492.7;1;32;230;14492.7;1;94;0
172;11486.8;1;27;172;11486.8;1;49;0
378;25079;1;49;378;25079;1;138;0
77;4756.13;1;22;77;4756.13;1;25;0
75;4515.93;1;22;75;4515.93;1;23;0
84;5549.97;1;23;84;5549.97;1;25;0
39;2354.59;1;21;39;2354.59;1;21;0
133;8331.45;1;23;133;8331.45;1;27;0
153;9708.63;1;25;153;9708.63;1;30;0
3683;23660.7;1;50;315;24374.5;1;146;1
120;7354.29;1;23;120;7354.29;1;27;0
177;12393.8;1;25;177;12393.8;1;36;0
1587;11004.3;1;25;170;11380;1;57;1
232;15456.7;1;36;232;15456.7;1;78;0
88;5215.47;1;22;88;5215.47;1;26;0
463;30774.1;1;42;463;30774.1;1;111;0
117;7572.8;1;23;117;7572.8;1;28;0
215;15317.7;1;29;215;15317.7;1;53;0
234;13711.4;1;29;234;13711.4;1;52;0
194;11252.4;1;25;194;11252.4;1;36;0
170;10424.1;1;23;170;10424.1;1;30;0
363;23395.1;1;37;363;23395.1;1;88;0
89;5852.01;1;22;89;5852.01;1;26;0
140;9877.66;1;23;140;9877.66;1;29;0
320;20174.6;1;33;320;20174.6;1;96;0
218;12959.1;1;25;218;12959.1;1;39;0
209;13694.6;1;32;209;13694.6;1;53;0
169;10769.4;1;27;169;10769.4;1;45;0
252;17280.5;1;29;252;17280.5;1;48;0
3339;12789.3;1;29;219;13457.5;6;273;1
147;9328.88;1;24;147;9328.88;1;34;0
184;12102;1;30;184;12102;1;55;0
433;29015.9;1;47;447;30412.7;1;125;2
282;18884.5;1;41;282;18884.5;1;99;0
93;5940.27;1;23;93;5940.27;1;26;0
30;2045.15;1;21;30;2045.15;1;22;0
280;19007.2;1;31;280;19007.2;1;59;0
204;13923.4;1;29;204;13923.4;1;74;0
230;14239.1;1;32;230;14239.1;1;59;0
40;2192.24;1;22;40;2192.24;1;22;0
96;5396.59;1;23;96;5396.59;1;28;0
302;19371.4;1;39;302;19371.4;1;116;0
163;10947.6;1;26;163;10947.6;1;40;0
184;12686.7;1;29;184;12686.7;1;48;0
167;11380.3;1;24;167;11380.3;1;33;0
293;21818.8;1;40;293;21818.8;1;98;0
512;8248.8;1;25;153;8503.72;1;38;1
53;2924.77;1;22;53;2924.77;1;24;0
260;18176.7;1;40;262;18244.4;2;179;2
168;6549.74;1;23;129;6745.4;2;63;1
258;16127.6;1;31;258;16127.6;1;72;0
276;22616.9;1;54;276;22616.9;1;142;0
105;7258.88;1;24;105;7258.88;1;33;0
6118;24783.5;1;42;395;25831.3;3;318;1
136;8130.44;1;26;136;8130.44;1;37;0
239;15355.6;1;39;239;15355.6;1;68;0
228;15043.7;1;27;228;15043.7;1;42;0
155;9716.92;1;32;155;9716.92;1;49;0
509;10336.5;1;27;185;11564.6;1;47;1
214;13273.3;1;32;214;13273.3;1;61;0
268;16784.8;1;31;268;16784.8;1;85;0
161;10322.9;1;26;161;10322.9;1;40;0
2769;20898;1;40;365;21055.6;1;90;1
139;8732.3;1;27;154;9133.22;1;40;2
149;10489.2;1;25;149;10489.2;1;37;0
188;11951.9;1;30;188;11951.9;1;50;0
235;14677.3;1;32;235;14677.3;1;61;0
214;13583.3;1;31;214;13583.3;1;68;0
504;33171.6;1;56;504;33171.6;1;151;0
225;13882.6;1;34;225;13882.6;1;61;0
120;6929.31;1;35;120;6929.31;1;32;0
220;14065.7;1;29;220;14065.7;1;53;0
284;18895.1;1;41;284;18895.1;1;119;0
46;3528.67;1;22;46;3528.67;1;23;0
346;24827.5;1;50;346;24827.5;1;150;0
308;19622.4;1;38;308;19622.4;1;79;0
15;874.406;1;22;15;874.406;1;22;0
89;6803.24;1;22;89;6803.24;1;23;0
370;23010.2;1;51;370;23010.2;2;691;0
189;12118.6;1;29;187;12126.1;2;93;1
239;14724.4;1;30;239;14724.4;1;54;0
970;14656.6;1;32;221;14868.9;1;71;1
879;17139.4;1;24;262;18748.2;2;115;1
338;23582.7;1;56;338;23582.7;1;139;0
222;14570.1;1;34;222;14570.1;1;74;0
151;10119.8;1;28;151;10119.8;1;54;0
133;9923.82;1;25;133;9923.82;1;36;0
221;14583.5;1;33;221;14583.5;1;55;0
138;8678.1;1;24;138;8678.1;1;32;0
276;17517.1;1;39;276;17517.1;1;94;0
326;22767.7;1;40;326;22767.7;1;90;0
220;14538.3;1;32;220;14538.3;1;65;0
130;7833.63;1;27;130;7833.63;1;40;0
240;16083.5;1;30;240;16083.5;1;51;0
2818;9300.68;1;24;170;10226.1;1;44;1
307;20370.6;1;47;307;20370.6;1;123;0
160;10107.7;1;26;160;10107.7;1;39;0
162;10407.8;1;27;162;10407.8;1;40;0
146;8535.18;1;25;146;8535.18;1;29;0
2164;17141.7;1;33;263;17380.9;2;144;1
108;7123.11;1;24;108;7123.11;1;28;0
282;21098.6;1;45;282;21098.6;1;124;0
253;17054;1;36;253;17054;1;72;0
354;24064.1;1;38;354;24064.1;1;90;0
133;7793.66;1;26;133;7793.66;1;33;0
838;17007.6;1;37;298;17364.6;1;70;1
163;10862.9;1;28;163;10862.9;1;47;0
40;2631.38;1;24;40;2631.38;1;25;0
77;5075.82;1;23;77;5075.82;1;27;0
254;16906.5;1;31;254;16906.5;1;57;0
