TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
134;8421.71;1;26;134;8421.71;1;133;0
53304;24187.6;1;45;407;26295.2;1;261;1
201;12704.6;1;27;201;12704.6;1;47;0
208;14414.3;1;28;381;19268;28;7000;2
266;17431.1;1;43;266;17431.1;1;78;0
3294;5981.58;1;25;107;5992.16;1;28;1
183;13017.7;1;26;183;13017.7;1;37;0
144;9132.56;1;26;144;9132.56;1;37;0
831;8506.99;1;24;713;8570.47;16;435;1
339;22801.3;1;48;339;22801.3;96;22516;0
93;5888.59;1;27;93;5888.59;1;33;0
2147;8150.26;1;28;143;9066.35;1;46;1
20375;14805.4;1;31;20375;14805.4;103;5395;0
105;5899.73;1;25;105;5899.73;1;26;0
183;11928.1;1;33;183;11928.1;1;57;0
225;15777.9;1;29;225;15777.9;1;47;0
158;10488.1;1;30;158;10488.1;1;61;0
938;5068.18;1;23;938;5068.18;3;77;0
7346;16124;1;37;7346;16771.4;61;22649;0
42745;15053.7;1;31;5462;18100.8;6;459;1
111;6763.75;1;28;111;6763.75;1;35;0
82;4722.55;1;26;82;4722.55;1;29;0
279;16107;1;39;278;16356.1;3;165;1
3238;12525;1;34;3238;12525;52;1565;0
337;6353.35;1;27;113;6594.07;3;115;1
4004;18275.7;1;47;3862;19646;3;301;1
4405;18537.1;1;40;333;21895.4;4;342;1
127;7156.65;1;29;127;7156.65;1;43;0
74;4067.04;1;26;74;4067.04;1;31;0
6407;16335.7;1;40;407;16724.7;11;472;1
4542;13070.6;1;40;239;13811.8;3;220;1
5136;14533;1;37;2004;15707.9;2;191;1
3655;28250.8;1;57;3655;28250.8;135;39501;0
178;11475.3;1;33;178;11475.3;1;69;0
1438;13198.4;1;35;278;18470.7;3;392;1
3511;9478.01;1;30;149;9612.57;1;45;1
312;19350.4;1;39;312;19350.4;1;93;0
118;8425.06;1;27;118;8425.06;1;33;0
2254;12600.4;1;34;279;16176.3;2;177;1
196;12691.5;1;35;196;12691.5;1;94;0
110;5952.82;1;27;110;5952.82;1;31;0
2111;16751.8;1;32;2111;16751.8;4;259;0
432;22364.4;1;55;378;23728.2;1;182;1
1828;19936.4;1;43;1828;19936.4;2;151;0
31369;18523.8;1;34;7173;18731.7;21;1559;1
7891;28626.3;1;75;7891;28626.3;23;8392;0
766;13483;1;32;225;14957;1;83;1
4106;12943.6;1;39;210;13569.5;1;87;1
29;2058.78;1;25;29;2058.78;1;26;0
462;11093.2;1;31;157;11117;1;49;1
12823;34587.1;1;69;575;36764.5;91;36053;1
341;9662.9;1;27;270;11352.4;9;249;1
