TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
54;3380.53;1;26;54;3380.53;1;52;0
374;24772.9;1;53;374;24772.9;1;182;0
103;7386.31;1;25;103;7386.31;1;30;0
95;6154.13;1;26;95;6154.13;1;33;0
20;1127.1;1;24;20;1127.1;1;23;0
409;28640.7;1;82;409;28640.7;1;255;0
145;10026;1;30;145;10026;1;51;0
38;2317.52;1;23;38;2317.52;1;23;0
444;16274.2;1;37;283;17395.7;1;85;1
62;3624.42;1;24;62;3624.42;1;24;0
113;7672.19;1;25;113;7672.19;1;32;0
124;7052.07;1;25;124;7052.07;1;37;0
2;140.999;1;24;2;140.999;1;22;0
248;15582.6;1;46;248;15582.6;1;109;0
11476;15333.6;1;37;973;17142.7;16;661;1
81;4562.26;1;27;81;4562.26;1;33;0
150;10655.6;1;28;150;10655.6;1;47;0
248;14897;1;53;248;14897;1;90;0
665;16940.6;1;33;669;17927.2;93;2952;2
303;19157.4;1;44;303;19157.4;1;101;0
118;6347.5;1;25;118;6347.5;1;28;0
159;9849.28;1;28;159;9849.28;1;49;0
167;10652;1;27;167;10652;1;40;0
1441;10152.8;1;32;159;10942.1;2;88;1
2510;8578.53;1;27;145;9212.56;1;42;1
144;9951.81;1;32;144;9951.81;1;61;0
717;16164.1;1;35;717;16164.1;2;75;0
180;11426.7;1;31;180;11426.7;1;72;0
8616;9400.47;1;24;8616;9400.47;2;107;0
3658;24232.1;1;60;3658;24232.1;16;483;0
3837;8250.81;1;27;141;9478.53;2;82;1
3514;16385.3;1;41;236;16835;1;100;1
357;20107.1;1;40;357;20107.1;1;84;0
41;3074.17;1;24;41;3074.17;1;23;0
2569;23877.1;1;55;399;25006.9;2;266;1
67;4639.51;1;27;67;4639.51;1;28;0
137;8596.81;1;27;137;8596.81;1;42;0
153;10459.7;1;28;153;10459.7;1;42;0
89;6618.19;1;24;89;6618.19;1;26;0
262;16676.8;1;30;262;16676.8;1;54;0
207;13847.6;1;31;207;13847.6;1;55;0
6643;5606.22;1;28;100;6394.79;1;30;1
187;11138;1;27;187;11138;1;48;0
7320;12407.5;1;35;202;12595.8;1;84;1
119;7941.87;1;26;119;7941.87;1;35;0
67;3961.64;1;24;67;3961.64;1;25;0
629;8610.37;1;25;217;12756.1;1;58;1
163;12203.3;1;28;163;12203.3;1;49;0
99;6356.89;1;25;99;6356.89;1;29;0
317;20187.4;1;39;317;20187.4;1;85;0
286;18996.5;1;44;286;18996.5;1;104;0
301;18956.2;1;44;328;20255.7;2;211;2
101;6240.78;1;25;101;6240.78;1;30;0
210;13671;1;28;210;13671;16;509;0
54;3814.17;1;25;54;3814.17;1;23;0
262;17057.2;1;42;262;17057.2;1;93;0
153;9719.62;1;26;153;9719.62;1;36;0
758;14323.1;1;28;758;14323.1;5;140;0
4273;33379.2;1;70;511;34319.8;1;199;1
280;18271.7;1;38;280;18271.7;1;75;0
239;15099.7;1;37;239;15099.7;1;80;0
6075;12970.1;1;30;279;16424.8;2;132;1
5912;15110.9;1;31;251;15350.6;1;57;1
448;29481.2;1;56;450;29646.3;1;157;2
1115;16266.6;1;35;259;16490.5;2;118;1
67;4421.31;1;23;67;4421.31;1;26;0
2288;25730.9;1;41;510;34589;1;101;1
385;25309.9;1;63;385;25309.9;1;166;0
182;11701.4;1;28;182;11701.4;1;50;0
151;9515.07;1;31;151;9515.07;1;42;0
