TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
2584;18657;1;50;262;18682.8;1;130;1
692;14044;1;28;239;15770.4;1;80;1
489;22759.4;1;62;367;23310.8;1;164;1
355;22953.2;1;67;355;22953.2;1;231;0
201;10903.9;1;28;201;10903.9;1;44;0
187;12324.7;1;32;187;12324.7;1;72;0
217;14826;1;33;217;14826;1;68;0
83;5194.72;1;27;83;5194.72;1;31;0
93;5320.35;1;26;93;5320.35;1;27;0
217;14204.5;1;36;217;14204.5;1;69;0
689;6299.82;1;25;114;7154.75;2;72;1
97;6691.39;1;28;97;6691.39;1;32;0
59;3680.32;1;25;59;3680.32;1;26;0
3147;14384.9;1;27;999;14629.1;3;173;1
874;13845.9;1;35;230;14346.6;1;70;1
2083;14173.4;1;26;2083;14173.4;2;114;0
6346;22975;1;55;391;22979.9;1;156;1
547;10075.8;1;29;183;10170;2;78;1
157;9885.93;1;31;157;9885.93;1;63;0
150;11588.5;1;31;150;11588.5;1;64;0
1164;17840.5;1;35;1164;17840.5;134;3973;0
2661;24612.2;1;53;346;24668.1;1;129;1
190;12397.3;1;33;190;12397.3;1;68;0
188;11736.8;1;29;188;11736.8;1;61;0
6689;27279.2;1;68;387;28179;1;230;1
2581;22667.9;1;52;307;22643.2;1;309;1
138;8909.47;1;28;138;8909.47;1;41;0
248;14958.2;1;33;248;14958.2;1;75;0
841;7776.46;1;25;841;7776.46;69;1925;0
83;5079.37;1;26;83;5079.37;1;33;0
262;11859;1;34;187;12038.9;1;62;1
144;7872.09;1;27;144;7872.09;1;37;0
640;27203.5;1;58;422;29013.8;3;351;1
1047;13032.6;1;27;626;14884.5;4;261;1
184;12780.3;1;30;177;13000.2;2;106;1
119;6943.47;1;27;119;6943.47;1;40;0
163;8374.55;1;28;131;8583.23;1;49;1
147;9800.62;1;29;147;9800.62;1;39;0
268;17037.3;1;40;268;17037.3;1;96;0
65;3822.87;1;25;65;3822.87;1;27;0
248;16491.3;1;32;248;16491.3;1;55;0
235;14772.9;1;40;235;14772.9;1;95;0
40;2630.4;1;24;40;2630.4;1;24;0
315;15393.7;1;42;250;15991.5;1;104;1
209;14472.5;1;33;211;14658.4;1;70;2
117;7468.13;1;26;117;7468.13;1;40;0
158;9870.17;1;27;158;9870.17;1;43;0
84;6024.17;1;25;84;6024.17;1;25;0
97;6922.29;1;27;97;6922.29;1;37;0
256;17023.1;1;40;256;17023.1;1;95;0
563;15727.5;1;31;265;16357;2;131;1
195;12143.8;1;30;195;12143.8;1;50;0
2745;15188;1;32;244;15554.5;1;76;1
228;14345.3;1;34;234;14577.3;1;88;2
60;3436.31;1;25;60;3436.31;1;25;0
222;14002.5;1;34;222;14002.5;1;74;0
190;14120.7;1;27;190;14120.7;1;40;0
280;18138.9;1;40;280;18138.9;1;92;0
104;6715.37;1;26;104;6715.37;1;33;0
143;9230.25;1;29;143;9230.25;1;47;0
358;23909.7;1;59;358;23909.7;1;201;0
212;13961;1;30;212;13961;1;57;0
166;13408.1;1;36;166;13408.1;1;85;0
924;6506.29;1;23;924;6506.29;27;714;0
92;6053.27;1;26;92;6053.27;1;31;0
75;4061.54;1;25;75;4061.54;1;27;0
746;10927.5;1;30;234;14843.6;7;300;1
206;12748.2;1;35;206;12748.2;1;72;0
74;4695.49;1;25;74;4695.49;1;34;0
1369;13888.2;1;35;236;14197.3;5;288;1
60;3771.2;1;26;60;3771.2;1;28;0
545;11302;1;36;164;11136.2;1;65;1
247;14765.2;1;36;247;14765.2;1;74;0
315;15473.4;1;32;243;15969.2;2;166;1
935;7603.5;1;26;133;8791.98;4;166;1
2395;8553.01;1;30;132;8572.27;1;45;1
157;9894.17;1;30;157;9894.17;1;54;0
84;5611.68;1;26;84;5611.68;1;35;0
140;8025;1;26;140;8025;1;34;0
214;13113.7;1;34;214;13113.7;1;69;0
57;3360.14;1;25;57;3360.14;1;24;0
1836;18386.7;1;47;317;19018;3;320;1
1271;21321.2;1;48;312;21974.2;1;133;1
256;17660;1;35;256;17660;1;71;0
270;17494.5;1;38;270;17494.5;1;74;0
184;12197.2;1;29;184;12197.2;1;50;0
166;13133.4;1;31;166;13133.4;1;63;0
137;8042.27;1;27;137;8042.27;1;36;0
104;7107.06;1;26;104;7107.06;1;30;0
196;13281.7;1;37;196;13281.7;1;80;0
175;10524.9;1;31;175;10524.9;1;52;0
152;9035.26;1;30;152;9035.26;1;56;0
302;18872;1;44;302;18872;1;104;0
384;28090.7;1;65;384;28090.7;1;214;0
48;2603.53;1;25;48;2603.53;1;25;0
252;16405.9;1;36;252;16405.9;1;72;0
79;5428.99;1;25;79;5428.99;1;26;0
383;8442.23;1;26;383;8442.23;6;160;0
275;18304.8;1;32;275;18304.8;1;66;0
52;3244.14;1;26;52;3244.14;1;25;0
585;6946.58;1;22;597;7602.7;3;138;2
1063;17189.9;1;45;258;17720.1;1;111;1
539;14293.2;1;37;232;14318.2;1;75;1
2842;13599.2;1;37;242;14442.3;1;78;1
2053;5242.16;1;26;85;5225.14;1;35;1
114;7069.33;1;27;114;7069.33;1;41;0
66;3947.85;1;25;66;3947.85;1;27;0
67;3521.67;1;24;67;3521.67;1;25;0
50;3126.79;1;22;50;3126.79;1;78;0
103;6987.25;1;26;103;6987.25;1;33;0
301;18241.7;1;38;301;18241.7;1;83;0
2123;14956.4;1;32;2127;15293.9;74;2337;2
290;18812.6;1;47;290;18812.6;1;125;0
1294;24880.4;1;57;384;24879.4;1;181;1
1641;15891.6;1;40;283;16994.1;4;385;1
247;16230.9;1;37;247;16230.9;1;79;0
3772;25025.2;1;59;396;25308.9;1;165;1
373;19620.5;1;47;312;19932.9;2;250;1
134;3055.84;1;25;46;3104.4;1;25;1
418;30247.4;1;72;527;33236.3;1;287;2
163;10354.5;1;30;163;10354.5;1;53;0
3995;7862.89;1;28;131;8246.69;1;41;1
2393;8786.41;1;25;2393;8786.41;41;1130;0
225;13863.4;1;33;242;14371.8;2;143;2
120;8605.51;1;26;120;8605.51;1;31;0
240;19314.3;1;44;240;19314.3;1;173;0
164;10709.3;1;28;164;10709.3;1;41;0
2491;9030.86;1;34;146;9275.55;1;51;1
130;7942.7;1;27;130;7942.7;1;38;0
172;10717;1;32;171;10905.6;1;51;1
3703;14254.2;1;36;256;16115.7;1;113;1
79;4536.81;1;25;79;4536.81;1;29;0
37;2193.78;1;25;37;2193.78;1;25;0
358;26125.7;1;59;358;26125.7;1;157;0
74;4367.13;1;26;74;4367.13;1;28;0
15;640.399;1;24;15;640.399;1;23;0
25;1403.27;1;25;25;1403.27;1;24;0
286;17828.4;1;38;286;17828.4;1;85;0
286;18797.9;1;39;286;18797.9;1;94;0
4719;22017.5;1;49;339;22243.6;2;258;1
504;8191.65;1;28;217;13306.1;1;105;1
552;15678;1;48;254;17233.8;1;127;1
268;18222.6;1;37;268;18222.6;1;89;0
140;9651.72;1;27;140;9651.72;1;41;0
1137;13576.4;1;29;239;13913.9;1;52;1
2586;22449.2;1;47;654;22734.7;3;231;1
86;5400.15;1;26;86;5400.15;1;30;0
176;11815.7;1;28;176;11815.7;1;43;0
157;9639.65;1;28;157;9639.65;1;44;0
190;13209.6;1;32;190;13209.6;1;55;0
810;21301;1;62;337;21520.2;2;401;1
29;1682.78;1;25;29;1682.78;1;24;0
314;13409.4;1;36;314;13409.4;2;132;0
2151;10537.9;1;31;182;10931.5;1;57;1
29;1938.15;1;26;29;1938.15;1;24;0
266;16411.8;1;41;266;16411.8;1;89;0
3234;7411.99;1;27;134;8502.55;1;39;1
153;8828.2;1;24;153;8828.2;1;52;0
227;12542.3;1;31;210;12614.1;1;58;1
29;1574.96;1;21;29;1574.96;1;65;0
142;8709.03;1;31;142;8709.03;1;43;0
2350;14854.8;1;36;267;15802.1;1;96;1
84;5260.43;1;26;84;5260.43;1;35;0
220;14230.2;1;35;220;14230.2;1;68;0
236;13749.1;1;35;236;13749.1;1;67;0
77;5679.72;1;25;77;5679.72;1;33;0
76;5351.82;1;27;76;5351.82;1;31;0
3066;26095.6;1;64;396;26801.3;1;223;1
90;5151.53;1;26;90;5151.53;1;29;0
1096;13112;1;30;255;13821.2;2;123;1
86;5245.74;1;26;86;5245.74;1;30;0
133;8307.61;1;26;133;8307.61;1;38;0
369;18159.6;1;37;307;18793.4;1;90;1
239;15227.6;1;40;239;15227.6;1;92;0
178;11689.2;1;31;178;11689.2;1;51;0
306;20236.2;1;36;306;20236.2;57;2181;0
1458;16256.2;1;45;247;16766;3;253;1
296;19207.6;1;35;296;19207.6;1;74;0
89;5124.4;1;26;89;5124.4;1;34;0
811;8383.17;1;28;133;8688.91;1;47;1
58;3493.66;1;25;58;3493.66;1;26;0
69;4439.78;1;27;69;4439.78;1;48;0
166;11328.2;1;32;166;11328.2;1;73;0
9753;11441;1;29;190;11954.7;3;168;1
104;6998.84;1;26;104;6998.84;1;34;0
305;18415.1;1;42;305;18415.1;1;104;0
120;7422.23;1;27;120;7422.23;1;41;0
